종목코드,회사명,시장구분,ticker,현재주가,시가총액,배당수익률,52주최고,52주최저,PER,PBR,ROE,수집시각
071970,HD현대마린엔진,KOSPI,071970.KS,73800.0,2503404683264.0,,118200.0,39400.0,,,0.41364,2026-05-20T21:05:55.844399
006360,GS건설,KOSPI,006360.KS,29000.0,2461778051072.0,1.67,44850.0,17790.0,,,0.01761,2026-05-20T21:05:56.263630
204320,HL만도,KOSPI,204320.KS,52600.0,2469944623104.0,1.39,75800.0,32100.0,,,,2026-05-20T21:05:56.683543
003690,코리안리,KOSPI,003690.KS,13910.0,2458189561856.0,4.01,15400.0,8740.0,,,0.090959996,2026-05-20T21:05:57.100894
139480,이마트,KOSPI,139480.KS,88500.0,2370769256448.0,2.67,136400.0,70300.0,,,0.0184,2026-05-20T21:05:57.545246
004370,농심,KOSPI,004370.KS,393000.0,2390478290944.0,1.51,579000.0,358500.0,,,0.0618,2026-05-20T21:05:58.057592
103140,풍산,KOSPI,103140.KS,84500.0,2308056547328.0,1.96,172200.0,57200.0,,,0.06544,2026-05-20T21:05:58.471238
051600,한전KPS,KOSPI,051600.KS,52500.0,2362499923968.0,3.06,69000.0,40750.0,,,0.09292,2026-05-20T21:05:58.886080
282330,BGF리테일,KOSPI,282330.KS,133000.0,2297577078784.0,3.06,147800.0,98500.0,,,0.17622,2026-05-20T21:05:59.413469
00680K,미래에셋증권2우B,KOSPI,00680K.KS,16770.0,9756683010048.0,1.66,24250.0,4943.8086,,,0.122980006,2026-05-20T21:05:59.829181
229640,LS에코에너지,KOSPI,229640.KS,74600.0,2262437199872.0,0.31,109800.0,31100.0,,,0.22934,2026-05-20T21:06:00.250166
069960,현대백화점,KOSPI,069960.KS,103800.0,2214308610048.0,3.06,128000.0,65700.0,,,0.02256,2026-05-20T21:06:00.671297
008770,호텔신라,KOSPI,008770.KS,56400.0,2134942547968.0,,70300.0,39700.0,,,-0.14461,2026-05-20T21:06:01.089171
018670,SK가스,KOSPI,018670.KS,238500.0,2144125976576.0,3.73,302000.0,204500.0,,,0.07883,2026-05-20T21:06:01.508432
007070,GS리테일,KOSPI,007070.KS,26250.0,2193596743680.0,2.19,29950.0,13540.0,,,0.01868,2026-05-20T21:06:01.944899
000155,두산우,KOSPI,000155.KS,546000.0,9302274211840.0,0.88,742000.0,261000.0,,,0.02069,2026-05-20T21:06:02.360868
001430,세아베스틸지주,KOSPI,001430.KS,60700.0,2176830668800.0,1.68,92500.0,18770.0,,,0.028180001,2026-05-20T21:06:02.880271
279570,케이뱅크,KOSPI,279570.KS,5320.0,2158298136576.0,,9880.0,5210.0,,,,2026-05-20T21:06:03.708431
030000,제일기획,KOSPI,030000.KS,18660.0,1889861107712.0,6.36,23300.0,17840.0,,,0.13626,2026-05-20T21:06:04.120365
007810,코리아써키트,KOSPI,007810.KS,89500.0,2481925652480.0,0.12,106000.0,9280.0,,,0.0731,2026-05-20T21:06:04.641863
008930,한미사이언스,KOSPI,008930.KS,31150.0,2109281927168.0,0.9,55500.0,30900.0,,,0.13023,2026-05-20T21:06:05.050767
000240,한국앤컴퍼니,KOSPI,000240.KS,22400.0,2121686450176.0,4.68,36450.0,16300.0,,,0.07521,2026-05-20T21:06:05.475047
120110,코오롱인더,KOSPI,120110.KS,71000.0,2416879075328.0,1.74,104900.0,29600.0,,,0.01321,2026-05-20T21:06:05.907767
005440,현대지에프홀딩스,KOSPI,005440.KS,13600.0,2073778454528.0,1.68,19790.0,6780.0,,,0.074039996,2026-05-20T21:06:06.315973
011210,현대위아,KOSPI,011210.KS,77600.0,2063984885760.0,1.5,112600.0,39400.0,,,0.03967,2026-05-20T21:06:06.739941
