종목코드,회사명,시장구분,연도,fs_div,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,cfo,cfi,cff
017670,SK텔레콤,KOSPI,2025,CFS,17099213000000.0,1073215000000.0,375084000000.0,30107783000000.0,17152491000000.0,12955292000000.0,,,
064350,현대로템,KOSPI,2021,CFS,2872511952000.0,80217965000.0,51411601000.0,4107182672000.0,2838937571000.0,1268245101000.0,,,
064350,현대로템,KOSPI,2022,CFS,3163343615000.0,147486669000.0,194534253000.0,4823869784000.0,3332399192000.0,1491470592000.0,,,
064350,현대로템,KOSPI,2023,CFS,3587382453000.0,210046594000.0,156778978000.0,5241484775000.0,3594508619000.0,1646976156000.0,,,
064350,현대로템,KOSPI,2024,CFS,4376597857000.0,456565534000.0,405259414000.0,5285394740000.0,3276309551000.0,2009085189000.0,,,
064350,현대로템,KOSPI,2025,CFS,5839031553000.0,1005640509000.0,770492199000.0,9318033774000.0,6276800158000.0,3041233616000.0,,,
267250,HD현대,KOSPI,2021,CFS,28158746399000.0,1085411576000.0,186012264000.0,35815655908000.0,23928156390000.0,11887499518000.0,,,
267250,HD현대,KOSPI,2022,CFS,60849668073000.0,3387008264000.0,2234955013000.0,65570861076000.0,42307197037000.0,23263664039000.0,,,
267250,HD현대,KOSPI,2023,CFS,61331302785000.0,2031563587000.0,785832206000.0,67982820888000.0,44750983788000.0,23231837100000.0,,,
267250,HD현대,KOSPI,2024,CFS,67765626088000.0,2983162778000.0,1930179481000.0,73866670219000.0,47481568074000.0,26385102145000.0,,,
267250,HD현대,KOSPI,2025,CFS,71259438270000.0,6099636253000.0,3675482625000.0,78685890494000.0,48350799380000.0,30335091114000.0,,,
096770,SK이노베이션,KOSPI,2021,CFS,46842929105000.0,1754170704000.0,1317007178000.0,49557440204000.0,29924245706000.0,19633194498000.0,,,
096770,SK이노베이션,KOSPI,2022,CFS,78056939448000.0,3917340789000.0,1895179127000.0,67218924277000.0,43976612895000.0,23242311382000.0,,,
096770,SK이노베이션,KOSPI,2023,CFS,77288485864000.0,1903886320000.0,554894277000.0,80835513251000.0,50815545738000.0,30019967513000.0,,,
096770,SK이노베이션,KOSPI,2024,CFS,74716970174000.0,315488338000.0,-2372482956000.0,110530097549000.0,70881188555000.0,39648908994000.0,,,
096770,SK이노베이션,KOSPI,2025,CFS,80296054243000.0,448683859000.0,-5436441431000.0,105608481396000.0,69216985650000.0,36391495746000.0,,,
003670,포스코퓨처엠,KOSPI,2021,CFS,1989542181862.0,121675892582.0,133761698843.0,3922480303898.0,1484050371607.0,2438429932291.0,,,
